ID,Name,Place,Type,Price,ReviewsCount,Rating,City,State
72,WestCord Hotel Delft,Delft,Twin Standard,96.17,500,8.7,Delft,
73,Hotel de Koophandel,Delft,Double Room,107.77,1047,8.7,Delft,
74,Casa Julia,Delft,Deluxe Double Room,126.83,1136,8.7,Delft,
75,Luxurious loft with view walk city center,Delft,One-Bedroom Apartment,210.85,61,8.6,Delft,
76,De Vliegende Vos het geboortehuis van Johannes Vermeer,Delft,Family Suite,215.53,347,8.8,Delft,
77,City Center Penthouse With Balcony Delft,Delft,One-Bedroom Apartment,225.89,67,8.9,Delft,
78,Hotel Grand Canal,Delft,Small Double Room with Canal View,83.78,1069,8.4,Delft,
79,Hampshire Hotel - Delft Centre,Delft,Standard Twin Room,92.15,500,8.2,Delft,
80,Hotel Royal Bridges,Delft, Deluxe double or Twin Room,96.99,500,8.3,Delft,
81,Hotel de Plataan Delft Centrum,Delft,Basic Double Room,103.28,500,8.1,Delft,
82,Buitengoed De Uylenburg,Delft,Double Room,107.77,489,8.3,Delft,
83,ibis Styles Delft City Centre,Delft,Standard Double Room with City View,110.01,526,8.1,Delft,
84,Hotel Johannes Vermeer Delft,Delft,Deluxe Double Room,117.88,1562,8.3,Delft,
85,Lux Loft Apt View Walk city center,Delft,One-Bedroom Apartment,264.51,14,8.1,Delft,
86,Shanghai Hotel Holland,Delft,Double Room,77.25,1583,7.6,Delft,
87,Best Western Museumhotels Delft,Delft,Standard Twin Room,84.94,662,7.9,Delft,
88,Hotel Bridges House Delft,Delft,Deluxe Double Room with Shower,92.37,2171,7.9,Delft,
89,Campanile Hotel & Restaurant Delft,Delft,Double Room,60.67,1943,7.1,Delft,
90,Uylenhof Hotel,Den Bosch,Double Room,133.82,677,9.2,Den Bosch,
91,Boutique Hotel De Blauwe Pauw,Den Bosch,Superior Twin Room,139.21,549,9.4,Den Bosch,
92,Bossche Suites Stationsweg,Den Bosch,Standard King Room,159.5,582,9.4,Den Bosch,
93,Bossche Suites No2 - Verwersstraat,Den Bosch,Studio,215.53,249,9.3,Den Bosch,
94,CubaCasa,Den Bosch,Deluxe Double Room with Balcony,98.34,252,8.6,Den Bosch,
95,Hotel The Stamp,Den Bosch,Superior Double Room,106.69,891,8.7,Den Bosch,
96,Maison BON Apartments,Den Bosch,Two-Bedroom Apartment,131.14,261,8.9,Den Bosch,
97,The Duke Boutique Apartments,Den Bosch,One-Bedroom Apartment,123.75,500,8.5,Den Bosch,
98,Boutique hotel Jeroen,Den Bosch,Small Double Room,134.43,95,8.5,Den Bosch,
99,The Duke Boutique Hotel,Den Bosch,Comfort Double Room,126.49,500,8.6,Den Bosch,
100,Hotel 't Keershuys,Den Bosch,Double Room,132.24,1143,8.9,Den Bosch,
101,KASerne Boutique Hotel,Den Bosch,Deluxe Double Room,155.19,64,8.7,Den Bosch,
102,Kloosterhotel de Soete Moeder,Den Bosch,Comfort Double or Twin Room with Private Bathroom,99.14,964,8.3,Den Bosch,
103,"The Den, 's-Hertogenbosch, a Tribute Portfolio Hotel",Den Bosch,Deluxe Twin Room,98.47,166,8.3,Den Bosch,
104,Landgoed Huize Bergen Den Bosch - Vught,Den Bosch,Double Room,112.62,500,8,Den Bosch,
105,Best Western Plus City Centre Hotel Den Bosch,Den Bosch,Comfort Twin Room,131.14,500,8.4,Den Bosch,
106,Tussen Gracht en SintJan,Den Bosch,Studio,160.75,158,8,Den Bosch,
107,Mövenpick Hotel 's Hertogenbosch,Den Bosch,Classic King Room,120.43,500,7.7,Den Bosch,
108,Van der Valk Hotel 's-Hertogenbosch – Vught,Den Bosch,Triple Room,130.22,500,7.9,Den Bosch,
