ID,Name,Type,Price,ReviewsCount,Rating,City,State
123,Hotel Piet Hein Eek,Small Double Room,116.01,33,8.7,Strijp, Eindhoven
124,Pullman Eindhoven Cocagne,Superior Twin Room,141.00,500,8.7,Eindhoven City Centre, Eindhoven
125,NH Collection Eindhoven Centre,Superior Twin/Double Room ,149.97,500,8.7,Eindhoven City Centre, Eindhoven
126,Hotel La Reine,Standard Twin Room,61.96,1672,8.3,Eindhoven City Centre, Eindhoven
127,Winston B&B,Double Room with Shared Bathroom,62.87,785,8.2,Eindhoven City Centre, Eindhoven
128,3BE Backpackers Bed & Breakfast Eindhoven,Single Bed in 14-Bed Dormitory Room,66.39,805,8.0,Eindhoven City Centre, Eindhoven
129,Bastion Hotel Eindhoven Waalre,Deluxe King Room,68.26,500,8.1,Eindhoven,Eindhoven
130,B&B Landgoed De Grote Beek,Double Room,70.22,1684,8.4,Woensel-Zuid, Eindhoven
131,Crown Hotel Eindhoven Centre,Comfort Double Room,72.95,500,8.0,Eindhoven City Centre, Eindhoven
132,Tulip Inn Eindhoven Airport,Standard Twin Room,73.61,500,8.0,Strijp, Eindhoven
133,Boutiquehotel Sycamore - Protected City View - Free Parking,Double Room with Private Bathroom,76.01,500,8.4,Tongelre, Eindhoven
134,Boutique Hotel Lumiere,Comfort Room without Daylight,89.49,2915,8.4,Eindhoven City Centre, Eindhoven
135,Hotel Nassau,Double Room,90.88,914,8.1,Eindhoven City Centre, Eindhoven
136,"Holiday Inn Eindhoven Centre, an IHG Hotel",Standard Double or Twin Room,98.47,500,8.4,Eindhoven City Centre, Eindhoven
137,Park Plaza Eindhoven,Superior Double Room,103.46,500,8.0,Eindhoven City Centre, Eindhoven
138,B&B Molenstreek,Deluxe King Room,88.91,500,9.5,Groningen,Groningen
139,Byonz,Two-Bedroom House,340.37,58,9.8,Groningen,Groningen
140,The Hogg House - a city delight for two,One-Bedroom Apartment,112.26,4,9.0,Groningen,Groningen
141,Hakuna Matata - 4p apartment Groningen Center,One-Bedroom Apartment,125.73,9,9.3,Groningen,Groningen
142,The Market Hotel,Double Room,140.10,500,9.1,Groningen,Groningen
143,Prinsenhof,Superior Double Room,158.96,1281,9.2,Groningen,Groningen
144,Pied à Terre Oostersingel UMCG,One-Bedroom Apartment,83.07,500,8.7,Groningen,Groningen
145,The Happy Traveler - Guesthouse Groningen,Budget Double Room,86.22,824,8.5,Groningen,Groningen
146,Hotel Miss Blanche,Standard Double Room,106.88,1292,8.8,Groningen,Groningen
147,Cosy Aquarium for a couple or friends,One-Bedroom Apartment,112.26,2,8.5,Groningen,Groningen
148,Asgard Hotel,Double Room,112.62,654,8.5,Groningen,Groningen
149,Van der Valk Hotel Groningen-Hoogkerk,Standard Room,117.65,500,8.7,Groningen,Groningen
150,Monumentaal vintage appartement,Three-Bedroom Apartment,123.94,80,8.5,Groningen,Groningen
151,Hotel Corps de Garde,Comfort Room,138.30,717,8.9,Groningen,Groningen
152,Bed & Breakfast De Barrels,Deluxe Apartment,171.75,181,8.7,Groningen,Groningen
153,Best Western Apartments Groningen Centre,Apartment (6 Adults),184.11,500,8.6,Groningen,Groningen
154,"Eco-Camping De Helleborus, Yurt, Bell & Safari tent, Pipo, Caravans, Dorms and Units",Tent (2 Adults) Tiny T. ,48.28,111,8.2,Groningen,Groningen
155,The Student Hotel Groningen,Standard Queen Room,71.04,500,8.4,Groningen,Groningen
156,Best Western Hotel Groningen Centre,Standard Twin Room,83.20,500,8.2,Groningen,Groningen
157,Best Western Plus Hotel Groningen Plaza,Twin Room,84.87,2590,8.0,Groningen,Groningen
158,City Hotel Groningen,City Double or Twin Room,89.72,500,8.2,Groningen,Groningen
159,The Jungle - duo studio with kingsize terrace,One-Bedroom Apartment,112.26,2,8.0,Groningen,Groningen
160,Neon Nights Studio,One-Bedroom Apartment,112.26,4,8.3,Groningen,Groningen
161,Boutique Hotel De Doelen,Standard Double or Twin Room,115.31,1859,8.2,Groningen,Groningen
162,Cessinas,Double Room with Private Bathroom,59.00,110,8.0,Groningen,Groningen
163,MAF Haarlem Boutique Hotel,Queen Room,128.46,144,9.0,Haarlem,North Holland
164,B&B Het Hart van Haarlem,Deluxe Studio with Kitchen,148.18,606,9.2,Haarlem,North Holland
165,Cavallaro Hotel,Deluxe Room,183.44,31,9.1,Haarlem,North Holland
166,Haarlem zuid,One-Bedroom Apartment,191.96,6,9.2,Haarlem,North Holland
167,Boutique Hotel 't Vosje,Superior Suite,207.46,431,9.0,Haarlem,North Holland
168,the niu Dairy,Standard Double or Twin Room,92.99,500,8.5,Haarlem,North Holland
169,Van der Valk Hotel Haarlem,Comfort Double Room,100.63,500,8.6,Haarlem,North Holland
170,Hotel ML,Comfort Room,116.75,883,8.6,Haarlem,North Holland
171,Haarlem 49,Twin Room with Private Bathroom,118.59,144,8.6,Haarlem,North Holland
172,Hotel Lion D'Or,Classic Double or Twin Room,118.59,2352,8.6,Haarlem,North Holland
173,Hôtel Frenchie,Deluxe Room,145.04,172,8.9,Haarlem,North Holland
174,Boutiquehotel Staats,Deluxe Room,151.78,713,8.9,Haarlem,North Holland
175,Brasss Hotel Suites,Junior Suite Amazon,169.39,922,8.9,Haarlem,North Holland
176,Haarlem Hotel Suites,Suite Kleine Hout 4,174.26,522,8.8,Haarlem,North Holland
177,Hotel De Zoete Inval Haarlemmerliede,Comfort Twin Room,87.45,500,8.4,Haarlem,North Holland
178,Anegang Boutique Hotel,Economy Twin Room,96.99,229,8.3,Haarlem,North Holland
179,Carlton Square Hotel,Standard Double or Twin Room,113.16,1052,8.3,Haarlem,North Holland
180,The Guestroom - B&B,Queen Studio,119.45,267,8.4,Haarlem,North Holland
181,Amrâth Grand Hotel Frans Hals,Deluxe Twin Room,130.70,1730,8.0,Haarlem,North Holland
182,Haarlem Apart Hotel,Quadruple Room with Private Bathroom,226.09,154,8.3,Haarlem,North Holland
183,Stayokay Hostel Haarlem,Bed in 6-Bed Mixed Dorm with Shower,59.49,500,7.7,Haarlem,North Holland
184,Amadeus Hotel,Budget Double Room,71.67,1281,7.7,Haarlem,North Holland
185,Ambassador City Centre Hotel,Comfort Room,99.06,807,7.7,Haarlem,North Holland
186,Bed and Breakfast Haarlem 1001 Nacht,Luxury Quadruple Room,137.36,748,7.8,Haarlem,North Holland
